App name, AL75, K75, Class, , AL75, AL82, , K75, K250
2048-android,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
2050,5.0,5.0,5.0, ,5.0,5.0, ,5.0,4.0
AWhip,3.0,5.0,4.0, ,3.0,3.0, ,5.0,4.0
Adnihilation,2.0,5.0,3.5, ,2.0,2.0, ,5.0,5.0
Balance-the-Ball,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
Bummerlzaehler,1.0,1.0,1.0, ,1.0,1.0, ,1.0,1.0
Chalachithram,3.0,5.0,4.0, ,3.0,3.0, ,5.0,4.0
DSAAssistant,5.0,3.0,4.0, ,5.0,5.0, ,3.0,4.0
Fall,3.0,5.0,4.0, ,3.0,3.0, ,5.0,4.0
FlangAndroid,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
Kaesekaestchen,4.0,5.0,4.5, ,4.0,4.0, ,5.0,4.0
Kechi,2.0,5.0,3.5, ,2.0,2.0, ,5.0,5.0
Klock,5.0,5.0,5.0, ,5.0,5.0, ,5.0,4.0
Klooni1010,5.0,2.0,3.5, ,5.0,5.0, ,2.0,2.0
Lemuroid,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
LibreTrivia,5.0,3.0,4.0, ,5.0,5.0, ,3.0,3.0
LifeCounter,2.0,5.0,3.5, ,2.0,2.0, ,5.0,4.0
MHGenDatabase,5.0,3.0,4.0, ,5.0,5.0, ,3.0,3.0
Mines3D,4.0,2.0,3.0, ,4.0,4.0, ,2.0,2.0
OPMT,5.0,5.0,5.0, ,5.0,5.0, ,5.0,4.0
OSRSHelper,1.0,3.0,2.0, ,1.0,1.0, ,3.0,3.0
RSAndroidApp,1.0,2.0,1.5, ,1.0,1.0, ,2.0,2.0
RaumBaller,5.0,2.0,3.5, ,5.0,5.0, ,2.0,1.0
RoboZZle-Droid,1.0,3.0,2.0, ,1.0,1.0, ,3.0,3.0
ScoreSheets,4.0,5.0,4.5, ,4.0,4.0, ,5.0,5.0
Simple-Solitaire,1.0,1.0,1.0, ,1.0,1.0, ,1.0,1.0
StoryGame_Android,4.0,5.0,4.5, ,4.0,4.0, ,5.0,4.0
TabletopTools,3.0,5.0,4.0, ,3.0,3.0, ,5.0,5.0
TriviaYou,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
Trollslate,3.0,5.0,4.0, ,3.0,3.0, ,5.0,5.0
Unciv,3.0,5.0,4.0, ,3.0,3.0, ,5.0,4.0
Vector-Pinball,4.0,2.0,3.0, ,4.0,4.0, ,2.0,2.0
aaaaa,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
android,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
android-anuto,1.0,1.0,1.0, ,1.0,1.0, ,1.0,1.0
antimine-android,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
beat-feet,5.0,5.0,5.0, ,5.0,5.0, ,5.0,4.0
blockpuzzle,2.0,1.0,1.5, ,2.0,2.0, ,1.0,1.0
cdlc_player,4.0,2.0,3.0, ,4.0,4.0, ,2.0,2.0
crossword,2.0,5.0,3.5, ,2.0,2.0, ,5.0,4.0
dagger,5.0,2.0,3.5, ,5.0,5.0, ,2.0,2.0
dart-checker,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
dekadico,5.0,5.0,5.0, ,5.0,5.0, ,5.0,4.0
dodge-android,3.0,3.0,3.0, ,3.0,3.0, ,3.0,3.0
drgassistant,5.0,3.0,4.0, ,5.0,5.0, ,3.0,3.0
droidfish,5.0,1.0,3.0, ,5.0,5.0, ,1.0,1.0
gobandroid,2.0,2.0,2.0, ,2.0,2.0, ,2.0,2.0
gridle,2.0,3.0,2.5, ,2.0,2.0, ,3.0,4.0
hJOPandroidDriver,4.0,3.0,3.5, ,4.0,4.0, ,3.0,4.0
hayago,4.0,3.0,3.5, ,4.0,4.0, ,3.0,4.0
juvavum-android,2.0,5.0,3.5, ,2.0,2.0, ,5.0,4.0
knightsofalentejo,2.0,2.0,2.0, ,2.0,2.0, ,2.0,2.0
krassesSpiel,3.0,5.0,4.0, ,3.0,3.0, ,5.0,5.0
letters,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
makesomenoise,5.0,5.0,5.0, ,5.0,5.0, ,5.0,4.0
mastermindy-android,4.0,5.0,4.5, ,4.0,4.0, ,5.0,4.0
mtg-familiar,5.0,1.0,3.0, ,5.0,5.0, ,1.0,1.0
mtmods4android,3.0,3.0,3.0, ,3.0,3.0, ,3.0,3.0
nonocross,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
nounours-android,5.0,3.0,4.0, ,5.0,5.0, ,3.0,3.0
offline-puzzle-solver,5.0,3.0,4.0, ,5.0,5.0, ,3.0,4.0
passegares,2.0,2.0,2.0, ,2.0,2.0, ,2.0,2.0
pipepanic-android,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
pixelwheels,5.0,1.0,3.0, ,5.0,5.0, ,1.0,1.0
privacy-friendly-2048,1.0,5.0,3.0, ,1.0,1.0, ,5.0,4.0
privacy-friendly-solitaire,2.0,2.0,2.0, ,2.0,2.0, ,2.0,2.0
privacy-friendly-sudoku,2.0,2.0,2.0, ,2.0,2.0, ,2.0,2.0
randomix,2.0,3.0,2.5, ,2.0,2.0, ,3.0,4.0
rechnen-android,5.0,2.0,3.5, ,5.0,5.0, ,2.0,2.0
retrowars,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
rolldash,5.0,3.0,4.0, ,5.0,5.0, ,3.0,3.0
shattered-pixel-dungeon,5.0,1.0,3.0, ,5.0,5.0, ,1.0,1.0
tripeaks-gdx,5.0,5.0,5.0, ,5.0,5.0, ,5.0,5.0
vitosha-blackjack,3.0,3.0,3.0, ,3.0,3.0, ,3.0,3.0
wordlesolver,2.0,5.0,3.5, ,2.0,2.0, ,5.0,5.0
